#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,server_id
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T12:51:00Z,13.547,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T12:52:00Z,13.399833333333332,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T12:53:00Z,12.732545454545454,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T12:54:00Z,13.051833333333333,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T12:55:00Z,12.260000000000002,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T12:56:00Z,12.862500000000002,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T12:57:00Z,12.684090909090907,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T12:58:00Z,12.421916666666668,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T12:59:00Z,12.477545454545456,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:00:00Z,13.087583333333335,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:01:00Z,15.108545454545457,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:02:00Z,14.618333333333334,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:03:00Z,13.783636363636363,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:04:00Z,14.65881818181818,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:05:00Z,15.333916666666667,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:06:00Z,14.681,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:07:00Z,13.885916666666667,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:08:00Z,13.696727272727275,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:09:00Z,12.579583333333334,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:10:00Z,13.474909090909092,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:11:00Z,13.919333333333332,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:12:00Z,13.584000000000001,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:13:00Z,12.956916666666666,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:14:00Z,12.93590909090909,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:15:00Z,12.115083333333333,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:16:00Z,12.482999999999999,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:17:00Z,12.081166666666668,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:18:00Z,12.995818181818182,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:19:00Z,14.582083333333335,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:20:00Z,13.658545454545454,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:21:00Z,12.338083333333332,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:22:00Z,12.13281818181818,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:23:00Z,12.241166666666667,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:24:00Z,12.98090909090909,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:25:00Z,12.863499999999997,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:26:00Z,13.787818181818182,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:27:00Z,12.971833333333334,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:28:00Z,12.829272727272725,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:29:00Z,12.344545454545456,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:30:00Z,12.53875,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:31:00Z,13.807454545454545,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:32:00Z,15.991000000000001,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:33:00Z,16.09054545454546,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:34:00Z,15.265583333333334,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:35:00Z,17.009363636363634,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:36:00Z,17.12158333333333,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:37:00Z,16.862454545454543,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:38:00Z,17.293916666666664,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:39:00Z,17.542272727272724,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:40:00Z,17.038833333333333,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:41:00Z,14.856636363636367,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:42:00Z,15.407181818181817,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:43:00Z,14.585749999999999,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:44:00Z,15.721272727272726,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:45:00Z,17.83658333333333,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:46:00Z,17.643909090909094,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:47:00Z,17.894416666666668,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:48:00Z,18.537090909090907,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:49:00Z,19.569,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:50:00Z,19.758545454545455,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:51:00Z,18.418666666666667,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:52:00Z,18.447999999999997,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:53:00Z,18.488916666666665,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:54:00Z,17.77481818181818,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:55:00Z,19.53,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:56:00Z,20.30518181818182,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:57:00Z,20.649833333333333,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:58:00Z,21.683090909090904,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T13:59:00Z,22.62458333333333,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T14:00:00Z,21.761454545454548,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T14:01:00Z,21.648500000000002,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T14:02:00Z,21.155,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T14:03:00Z,19.206083333333332,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T14:04:00Z,19.05818181818182,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T14:05:00Z,19.121166666666664,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T14:06:00Z,19.170909090909092,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T14:07:00Z,19.830249999999996,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T14:08:00Z,18.28616666666667,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T14:09:00Z,18.244727272727275,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T14:10:00Z,17.68925,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T14:11:00Z,17.029454545454545,value,temperature,server_1_taipei
,,0,2024-02-01T12:50:25.178190984Z,2024-02-01T15:50:25.178190984Z,2024-02-01T14:12:00Z,16.792083333333334,value,temperature,server_1_taipei
